ID,Binomial,Country,Latitude,Longitude,Class,Order,Family,Genus,Species,System,Units,Native,Included in LPR2024,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1414,Gadus_morhua,Germany,54.93417,12.94528,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB-MT,1,1,,,,,,,,,,,,,,,,35900.0,24600.0,26100.0,27400.0,19400.0,13600.0,12000.0,13900.0,22000.0,32100.0,37100.0,48500.0,50900.0,38200.0,43500.0,40400.0,36600.0,32300.0,29400.0,28800.0,34000.0,32000.0,29600.0,20500.0,14700.0,14100.0,14200.0,15500.0,12900.0,16100.0,17300.0,12700.0,9240.0,10400.0,12900.0,9330.0
1415,Gadus_morhua,Sweden,58.2225,20.06972,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB-MT,1,1,129000.0,119000.0,120000.0,141000.0,193000.0,242000.0,242000.0,248000.0,307000.0,403000.0,453000.0,417000.0,443000.0,441000.0,376000.0,282000.0,195000.0,150000.0,143000.0,120000.0,90000.0,57600.0,61200.0,103000.0,120000.0,132000.0,93600.0,63100.0,56000.0,52100.0,61900.0,75500.0,84400.0,85600.0,74400.0,92600.0,92500.0,90900.0,129000.0,142000.0,146000.0,130000.0,104000.0,98500.0,108000.0,128000.0,112000.0,86300.0,79400.0,78400.0,72500.0
1416,Gadus_morhua,United Kingdom,51.0,-5.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (tonnes),1,0,,7629.0,5631.0,6465.0,5369.0,5461.0,3661.0,5874.0,6007.0,6558.0,5862.0,6018.0,9705.0,9859.0,4988.0,8831.0,9784.0,8177.0,8199.0,19122.0,13799.0,7232.0,5312.0,8474.0,10709.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,Gadus_morhua,Canada,42.55028,-67.79806,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Adult biomass (000s tonnes),1,0,,,,,,,,,37.0,32.0,36.0,38.0,37.0,39.0,33.0,27.0,28.0,27.0,43.0,35.0,46.0,33.0,23.0,18.0,10.0,7.0,12.0,13.0,14.0,16.0,17.0,20.0,,,,,,,,,,,,,,,,,,,
1418,Gadus_morhua,Greenland,59.0,-44.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass (tonnes),1,0,466971.0,378343.0,248141.0,109533.0,88940.0,54787.0,30131.0,20604.0,37794.0,78818.0,94123.0,71075.0,57228.0,46589.0,35644.0,29874.0,32906.0,36166.0,56409.0,83625.0,41003.0,30227.0,20732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,Gadus_morhua,United States,43.17167,-68.64333,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Mean spawning stock biomass/metric tonnes (000's),1,1,,,,,,,,,,,,,,,,22.0,,,,26.2,39.0,,,10.7,,18.0,,10.0,8.3,,,,,,,,,,,,,,,,,,,,,,
1420,Gadus_morhua,Canada,47.17639,-62.77528,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning Biomass (000 t),1,0,183.0,152.0,141.0,112.0,95.0,84.0,83.0,100.0,172.0,249.0,298.0,312.0,306.0,306.0,306.0,350.0,375.0,353.0,279.0,213.0,157.0,109.0,81.0,64.0,65.0,73.0,81.0,94.0,100.0,95.0,89.0,83.0,72.0,64.0,58.0,51.0,47.0,44.0,36.0,29.0,,,,,,,,,,,
1421,Gadus_morhua,United Kingdom,58.3,-6.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass,1,1,,,,,,,,,26159.0,28656.0,31982.0,37966.0,37432.0,32073.0,29863.0,22034.0,18503.0,19727.0,23430.0,21029.0,17761.0,15289.0,12501.0,14664.0,15296.0,17056.0,18036.0,14387.0,12124.0,11887.0,10186.0,9083.0,7840.0,6537.0,5163.0,3507.0,3471.0,5866.0,6747.0,5028.0,6581.0,8720.0,,,,,,,,,
1422,Gadus_morhua,Norway,58.34083,10.38944,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB (tonnes),1,0,38733.0,44628.0,45598.0,44959.0,46426.0,37852.0,44479.0,33905.0,30128.0,39887.0,57101.0,51533.0,48391.0,50332.0,47485.0,48257.0,29056.0,23280.0,30178.0,26112.0,14693.0,10681.0,8871.0,16456.0,29672.0,30535.0,37206.0,37535.0,19012.0,24151.0,29514.0,24302.0,16601.0,14005.0,17700.0,,,,,,,,,,,,,,,,
1423,Gadus_morhua,Iceland,66.52417,-19.38972,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,SSB-MT,1,1,355000.0,253000.0,225000.0,245000.0,188000.0,174000.0,145000.0,198000.0,211000.0,307000.0,369000.0,268000.0,177000.0,139000.0,148000.0,165000.0,191000.0,144000.0,160000.0,161000.0,197000.0,156000.0,142000.0,115000.0,152000.0,174000.0,158000.0,192000.0,200000.0,175000.0,160000.0,157000.0,189000.0,186000.0,192000.0,221000.0,212000.0,196000.0,246000.0,226000.0,255000.0,311000.0,344000.0,365000.0,333000.0,439000.0,382000.0,507000.0,493000.0,436000.0,385000.0
