year,total_catch_tonnes,cod_catch_tonnes,record_count,cod_records,source
1970,10465316.0,1942935.0,2537.0,122,ICES historical nominal catches 1950-2010
1971,10281811.0,1774995.0,2471.0,127,ICES historical nominal catches 1950-2010
1972,10258787.0,1676283.0,2682.0,139,ICES historical nominal catches 1950-2010
1973,11169392.0,1780411.0,3000.0,151,ICES historical nominal catches 1950-2010
1974,11663207.0,2035572.0,3166.0,158,ICES historical nominal catches 1950-2010
1975,11977276.0,1819755.0,3493.0,175,ICES historical nominal catches 1950-2010
1976,13164403.0,1890147.0,3757.0,181,ICES historical nominal catches 1950-2010
1977,12487143.0,1833380.0,3374.0,151,ICES historical nominal catches 1950-2010
1978,11729035.0,1675072.0,3640.0,149,ICES historical nominal catches 1950-2010
1979,11861709.0,1487902.0,3488.0,141,ICES historical nominal catches 1950-2010
1980,11849149.0,1627769.0,3383.0,144,ICES historical nominal catches 1950-2010
1981,11580819.0,1725396.0,3084.0,127,ICES historical nominal catches 1950-2010
1982,10716627.0,1556720.0,3301.0,126,ICES historical nominal catches 1950-2010
1983,10986107.0,1385630.0,3497.0,128,ICES historical nominal catches 1950-2010
1984,11219077.0,1372114.0,3382.0,126,ICES historical nominal catches 1950-2010
1985,10809364.0,1325814.0,3722.0,137,ICES historical nominal catches 1950-2010
1986,10062427.0,1368340.0,3827.0,144,ICES historical nominal catches 1950-2010
1987,9936424.0,1468230.0,4265.0,150,ICES historical nominal catches 1950-2010
1988,10262606.0,1348096.0,4450.0,165,ICES historical nominal catches 1950-2010
1989,9590526.0,1143957.0,4384.0,135,ICES historical nominal catches 1950-2010
1990,8681089.0,935101.0,4575.0,144,ICES historical nominal catches 1950-2010
1991,9086179.0,914834.0,4645.0,145,ICES historical nominal catches 1950-2010
1992,10543277.0,931950.0,5086.0,161,ICES historical nominal catches 1950-2010
1993,10211948.0,1023870.0,5207.0,154,ICES historical nominal catches 1950-2010
1994,10282938.0,1196635.0,5212.0,167,ICES historical nominal catches 1950-2010
1995,11070167.0,1239608.0,5365.0,167,ICES historical nominal catches 1950-2010
1996,11130638.0,1307657.0,5512.0,179,ICES historical nominal catches 1950-2010
1997,11796782.0,1321078.0,5631.0,181,ICES historical nominal catches 1950-2010
1998,11016144.0,1155139.0,5769.0,178,ICES historical nominal catches 1950-2010
1999,10577643.0,1025396.0,4917.0,164,ICES historical nominal catches 1950-2010
2000,11127135.0,877151.0,6405.0,170,ICES historical nominal catches 1950-2010
2001,11228054.0,884739.0,6527.0,184,ICES historical nominal catches 1950-2010
2002,11164011.0,847868.0,6563.0,183,ICES historical nominal catches 1950-2010
2003,10339572.0,807766.0,6697.0,177,ICES historical nominal catches 1950-2010
2004,10068077.0,860016.0,6855.0,170,ICES historical nominal catches 1950-2010
2005,9673446.0,808364.0,7135.0,173,ICES historical nominal catches 1950-2010
2006,9147539.031999998,790387.006,4132.0,23,ICES official nominal catches 2006-2023
2007,8962038.979000002,731742.1860000001,4132.0,23,ICES official nominal catches 2006-2023
2008,8590871.145,709391.0229999999,4132.0,23,ICES official nominal catches 2006-2023
2009,8488903.127999999,823787.0299999999,4132.0,23,ICES official nominal catches 2006-2023
2010,8756365.452,909157.4049999999,4132.0,23,ICES official nominal catches 2006-2023
2011,8124163.892000001,1007780.522,4132.0,23,ICES official nominal catches 2006-2023
2012,8156249.871,1076618.4980000001,4132.0,23,ICES official nominal catches 2006-2023
2013,8530297.857,1314525.8620000002,4132.0,23,ICES official nominal catches 2006-2023
2014,8732446.370000001,1325035.525,4132.0,23,ICES official nominal catches 2006-2023
2015,9172541.076000001,1242392.604,4132.0,23,ICES official nominal catches 2006-2023
2016,8379122.88647,1254087.5065,4132.0,23,ICES official nominal catches 2006-2023
2017,9361561.689,1250617.006,4132.0,23,ICES official nominal catches 2006-2023
2018,9105014.6701,1156042.065,4132.0,23,ICES official nominal catches 2006-2023
2019,8130372.71651,1078934.7814,4132.0,23,ICES official nominal catches 2006-2023
2020,8209910.106449999,1043032.8515700002,4132.0,23,ICES official nominal catches 2006-2023
