year,plastic_stock_million_tonnes,region_count,plastic_stock_tonnes,plastic_normalized
1970,,,,
1971,,,,
1972,,,,
1973,,,,
1974,,,,
1975,,,,
1976,,,,
1977,,,,
1978,,,,
1979,,,,
1980,,,,
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,
1993,,,,
1994,,,,
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,,,,
2000,3.741654,4.0,3741654.0,0.4260051098015284
2001,3.963521,4.0,3963521.0,0.451265723342047
2002,4.191994,4.0,4191994.0,0.47727846141234553
2003,4.426988,4.0,4426988.0,0.504033646358014
2004,4.668338,4.0,4668338.0,0.5315124921440217
2005,4.915576,4.0,4915576.0,0.5596617147437357
2006,5.168848,4.0,5168848.0,0.5884979369517893
2007,5.427659,4.0,5427659.0,0.6179648006630901
2008,5.691093,4.0,5691093.0,0.6479580149195275
2009,5.958569,4.0,5958569.0,0.6784114301068412
2010,6.230256,4.0,6230256.0,0.7093442876790935
2011,6.5055380000000005,4.0,6505538.000000001,0.7406864531055024
2012,6.784026,4.0,6784026.0,0.7723936368852982
2013,7.065106999999999,4.0,7065106.999999999,0.8043960460519723
2014,7.348457,4.0,7348457.0,0.83665679166401
2015,7.633443,4.0,7633443.0,0.8691038036597473
2016,7.919912,4.0,7919912.0,0.9017196622612466
2017,8.207134,4.0,8207134.0,0.934421253495341
2018,8.494813,4.0,8494813.0,0.9671748763537331
2019,8.78312,4.0,8783120.0,1.0
2020,8.78312,4.0,8783120.0,1.0
