year,temperature_c
1970,9.576985
1971,9.607639
1972,9.534585
1973,9.637976
1974,9.528418
1975,9.688651
1976,9.548211
1977,9.6438055
1978,9.59615
1979,9.66473
1980,9.697255
1981,9.741351
1982,9.595296
1983,9.734321
1984,9.6547575
1985,9.493153
1986,9.477973
1987,9.678674
1988,9.807901
1989,9.802733
1990,9.794797
1991,9.644875
1992,9.586349
1993,9.59209
1994,9.690564
1995,9.873443
1996,9.806033
1997,10.037786
1998,10.252832
1999,10.2385235
2000,10.190724
2001,10.23424
2002,10.185572
2003,10.337836
2004,10.287059
2005,10.434819
2006,10.546839
2007,10.416514
2008,10.442913
2009,10.239322
2010,10.456461
2011,10.306574
2012,10.606356
2013,10.399653
2014,10.470252
2015,10.190469
2016,10.466667
2017,10.472011
2018,10.417515
2019,10.53692
2020,10.595393
